XCoord,YCoord,OBJECTID,XCOORD,YCOORD,OBJECTID_1,POINT_X,POINT_Y,AGE,COMPLEX,COMDIST,SUBWAY,MAJROAD,AGEAVE,POPDEN,BLSPOPF,FIRENO,CAR2012R,TAX,AREA,PRICE,FLOOR1,UNITPRI
958372.6233,1942117.956,1,958372.6233,1942117.956,1,958372.6233,1942117.956,1.278754,1.20412,2.869231,2.923197,1.900367,1.575188,3.91628,0.028315,30,0.256037,4.783839,1.927832,4.707487,0,2.779655
941780.2414,1942553.349,2,941780.2414,1942553.349,2,941780.2414,1942553.349,0.60206,0.954243,3.115603,2.911177,2.074855,1.583199,3.998657,0.012168,9,0.214488,4.309651,1.82825,4.491848,0,2.663598
956247.1093,1942495.732,4,956247.1093,1942495.732,4,956247.1093,1942495.732,1.079181,0.69897,2.720001,2.778581,1.445548,1.605305,4.01952,0.00509,38,0.462166,5.057312,1.968156,4.748188,0,2.780032
951661.7375,1943058.358,5,951661.7375,1943058.358,5,951661.7375,1943058.358,0.477121,0,2.737416,2.668808,1.862229,1.613842,4.591093,0.014858,13,0.180724,3.912488,1.921374,4.508467,0,2.587093
945855.2506,1943263.435,6,945855.2506,1943263.435,6,945855.2506,1943263.435,1.20412,0,2.913703,1.802,1.570393,1.620136,4.816573,0.019003,15,0.181972,4.089976,1.623869,4.021189,0,2.39732
953103.1538,1943348.315,7,953103.1538,1943348.315,7,953103.1538,1943348.315,1.342423,0.954243,3.035471,2.562167,2.268317,1.61066,4.454082,0.00852,4,0.25319,4.175715,1.929368,4.577492,0,2.648124
966299.3339,1944525.592,8,966299.3339,1944525.592,8,966299.3339,1944525.592,1.431364,0.69897,2.671425,2.738112,1.760007,1.592177,4.411292,0.005973,14,0.37107,4.573289,1.772615,4.526339,0,2.753724
959697.2476,1944770.625,9,959697.2476,1944770.625,9,959697.2476,1944770.625,1.544068,0,1.016916,2.658804,1.735044,1.562293,4.49717,0.008193,21,0.354802,5.058677,1.908485,4.930032,0,3.021547
947937.8901,1944856.591,10,947937.8901,1944856.591,10,947937.8901,1944856.591,1.612784,1.113943,3.032239,2.170326,1.867743,1.61595,4.551109,0.015751,12,0.22841,3.971601,1.766487,4.322219,0,2.555732
955265.2653,1945338.949,11,955265.2653,1945338.949,11,955265.2653,1945338.949,1.579784,0,2.978202,2.972551,2.237072,1.568202,4.171174,0.0003,15,0.330836,4.719373,1.889829,5.222612,0,3.332783
951324.5534,1945525.536,12,951324.5534,1945525.536,12,951324.5534,1945525.536,1.255273,1.643453,2.264995,2.6598,2.02576,1.611723,4.331402,0.015374,25,0.252412,4.617105,1.929112,4.611723,0,2.682611
941684.3759,1945932.035,13,941684.3759,1945932.035,13,941684.3759,1945932.035,1,1.176091,3.169742,3.162318,2.228301,1.582063,4.317748,0.01599,12,0.265181,4.397923,2.061905,4.770415,0,2.70851
967981.7198,1947087.215,14,967981.7198,1947087.215,14,967981.7198,1947087.215,1.544068,2.173186,3.010074,2.669344,2.327384,1.58995,4.326914,0.001587,7,0.316948,4.307047,1.873602,4.805007,0.125,2.931405
961046.6324,1947199.698,15,961046.6324,1947199.698,15,961046.6324,1947199.698,1.544068,1.146128,2.241732,2.549177,1.378176,1.592177,4.128882,0.005008,28,0.414545,5.267871,2.066837,5.00681,0,2.939973
957965.3057,1947681.441,16,957965.3057,1947681.441,16,957965.3057,1947681.441,1.50515,1.491362,2.647565,2.493167,2.34898,1.603144,4.055215,0.001427,26,0.380752,5.16159,2.162494,5.194051,0,3.031557
957966.3553,1947841.788,17,957966.3553,1947841.788,17,957966.3553,1947841.788,1.518514,1.491362,2.76057,2.564444,2.188466,1.603144,4.055215,0.001427,26,0.380752,5.16159,2.044618,5.045323,0,3.000705
958371.1524,1947964.887,18,958371.1524,1947964.887,18,958371.1524,1947964.887,1.568202,1.255273,2.70702,2.426707,2.360275,1.603144,4.055215,0.001427,26,0.380752,5.16159,2.223127,5.31474,0,3.091613
959247.0223,1947984.543,19,959247.0223,1947984.543,19,959247.0223,1947984.543,1.579784,1.176091,2.657168,2.961588,2.185006,1.603144,4.055215,0.001427,26,0.380752,5.16159,1.795588,4.917092,0.166667,3.121504
959082.4319,1948051.243,20,959082.4319,1948051.243,20,959082.4319,1948051.243,1.568202,0.845098,2.716477,2.897013,2.132973,1.603144,4.055215,0.001427,26,0.380752,5.16159,2.007705,5.010724,0,3.003019
958202.1307,1948092.648,21,958202.1307,1948092.648,21,958202.1307,1948092.648,1.591065,0.69897,2.827909,2.61949,2.259672,1.603144,4.055215,0.001427,26,0.380752,5.16159,1.916454,5.010595,0,3.094141
942235.9402,1948212.286,22,942235.9402,1948212.286,22,942235.9402,1948212.286,1.176091,0,2.756488,1.698037,1.084043,1.609594,4.671528,0.01341,35,0.238839,4.411098,1.848497,4.311237,0,2.46274
942254.0842,1949011.17,23,942254.0842,1949011.17,23,942254.0842,1949011.17,1.113943,0,2.985268,2.713712,2.280193,1.584331,4.518004,0.023041,15,0.239211,4.137417,1.810165,4.255273,0,2.445108
949900.9484,1949483.271,24,949900.9484,1949483.271,24,949900.9484,1949483.271,1.041393,1.041393,2.897486,2.65968,1.804065,1.603144,4.442741,0.00791,10,0.27078,4.136467,1.928652,4.69897,0,2.770318
952742.9454,1950691.441,25,952742.9454,1950691.441,25,952742.9454,1950691.441,1,0,2.622289,2.744217,1.317548,1.638489,4.299308,0.035662,10,0.282577,4.539064,1.66764,4.321039,0,2.653399
939080.6864,1953019.833,26,939080.6864,1953019.833,26,939080.6864,1953019.833,1.041393,0.90309,2.708484,2.507123,1.874404,1.585461,4.609122,0.008964,19,0.210444,4.188338,1.872893,4.488645,0,2.615752
965579.6177,1955799.992,27,965579.6177,1955799.992,27,965579.6177,1955799.992,0.954243,1.30103,2.934959,3.16948,1.830496,1.623249,4.070833,0.020884,17,0.248451,4.513391,1.929112,4.517196,0,2.588084
963171.4745,1956404.244,28,963171.4745,1956404.244,28,963171.4745,1956404.244,1.079181,0.60206,3.221048,2.654151,2.562372,1.607455,4.495606,0.014563,10,0.227181,3.885474,1.834548,4.30103,0,2.466482
963149.2861,1960775.338,29,963149.2861,1960775.338,29,963149.2861,1960775.338,1.20412,0,3.173109,3.192853,1.336598,1.575188,4.170336,0.010596,9,0.282466,4.218141,1.776992,4.392697,0,2.615705
959818.4678,1961025.486,30,959818.4678,1961025.486,30,959818.4678,1961025.486,1.361728,1.342423,2.417944,2.753882,1.529155,1.604226,4.505705,0.007803,16,0.235423,4.249834,2.135896,4.69897,1,2.563074
938725.5587,1952880.819,31,938725.5587,1952880.819,31,938725.5587,1952880.819,1.079181,0.845098,2.588242,2.040158,1.869179,1.585461,4.609122,0.008964,19,0.210444,4.188338,1.929215,4.488551,1,2.559336
938779.3708,1952593.796,32,938779.3708,1952593.796,32,938779.3708,1952593.796,1.322219,1.20412,2.033785,2.15606,2.264521,1.625312,3.596726,0.037115,21,0.272476,4.115078,1.666444,4.271918,0.125,2.605474
938894.5131,1952730.629,33,938894.5131,1952730.629,33,938894.5131,1952730.629,0.845098,0,2.375545,1.948457,1.440128,1.625312,3.596726,0.037115,21,0.272476,4.115078,1.927986,4.431364,0,2.503378
938894.6953,1951469.969,34,938894.6953,1951469.969,34,938894.6953,1951469.969,0.778151,0.477121,2.911794,2.502242,1.721665,1.613842,3.296007,0.014891,18,0.314425,4.511977,1.777862,4.531479,0,2.753617
938903.3219,1952524.48,35,938903.3219,1952524.48,35,938903.3219,1952524.48,1.079181,0.845098,1.660495,2.427825,2.36893,1.625312,3.596726,0.037115,21,0.272476,4.115078,1.83046,4.471292,0,2.640832
938937.7611,1952727.254,36,938937.7611,1952727.254,36,938937.7611,1952727.254,0.90309,0.69897,2.360968,2.086293,1.743178,1.625312,3.596726,0.037115,21,0.272476,4.115078,1.826464,4.389166,1,2.562702
939088.8169,1953026.288,37,939088.8169,1953026.288,37,939088.8169,1953026.288,1.041393,0.90309,2.714722,2.520925,1.811236,1.585461,4.609122,0.008964,19,0.210444,4.188338,1.929061,4.525045,0,2.595984
939095.3223,1953313.724,38,939095.3223,1953313.724,38,939095.3223,1953313.724,1.322219,1.230449,2.905763,2.332916,2.026727,1.620136,4.044171,0.063648,15,0.273266,4.017826,1.592377,4.235203,0,2.642826
939129.0311,1952739.985,39,939129.0311,1952739.985,39,939129.0311,1952739.985,1.079181,0.69897,2.40077,2.469179,1.772046,1.625312,3.596726,0.037115,21,0.272476,4.115078,2.002814,4.491362,0,2.488548
939239.1103,1952731.561,40,939239.1103,1952731.561,40,939239.1103,1952731.561,1.041393,0,2.489237,2.606644,1.420628,1.585461,4.609122,0.008964,19,0.210444,4.188338,1.887645,4.412908,0,2.525263
939261.7097,1953030.393,41,939261.7097,1953030.393,41,939261.7097,1953030.393,1.041393,0.477121,2.756566,2.496584,1.69991,1.585461,4.609122,0.008964,19,0.210444,4.188338,1.929215,4.585461,0,2.656246
939267.8715,1953580.362,42,939267.8715,1953580.362,42,939267.8715,1953580.362,1.342423,1.230449,3.039858,2.059429,1.951211,1.620136,4.044171,0.063648,15,0.273266,4.017826,1.929163,4.533935,0,2.604772
